"ap_id","utility_id","geoid","region_name","sample_hh_id"
11335135,384,60014068003,"Alameda County",1
11335351,384,60014068003,"Alameda County",2
11335117,384,60014068003,"Alameda County",3
11338198,384,60014068003,"Alameda County",4
11447510,384,60014068003,"Alameda County",5
11337488,384,60014068003,"Alameda County",6
11335358,384,60014068003,"Alameda County",7
11338294,384,60014068003,"Alameda County",8
11335159,384,60014068003,"Alameda County",9
11448398,384,60014068003,"Alameda County",10
11447541,384,60014068003,"Alameda County",11
11338278,384,60014068003,"Alameda County",12
11335328,384,60014068003,"Alameda County",13
11448340,384,60014068003,"Alameda County",14
11335290,384,60014068003,"Alameda County",15
11447472,384,60014068003,"Alameda County",16
11448268,384,60014068003,"Alameda County",17
11449973,384,60014068003,"Alameda County",18
11448291,384,60014068003,"Alameda County",19
11448220,384,60014068003,"Alameda County",20
11496341,384,60014075002,"Alameda County",21
11309040,384,60014075002,"Alameda County",22
11496381,384,60014075002,"Alameda County",23
11441511,384,60014075002,"Alameda County",24
11441530,384,60014075002,"Alameda County",25
11496533,384,60014075002,"Alameda County",26
11496278,384,60014075002,"Alameda County",27
11441372,384,60014075002,"Alameda County",28
11335466,384,60014075002,"Alameda County",29
11313392,384,60014075002,"Alameda County",30
11335497,384,60014075002,"Alameda County",31
11496487,384,60014075002,"Alameda County",32
11441461,384,60014075002,"Alameda County",33
11441353,384,60014075002,"Alameda County",34
11441344,384,60014075002,"Alameda County",35
11496367,384,60014075002,"Alameda County",36
11496300,384,60014075002,"Alameda County",37
11441424,384,60014075002,"Alameda County",38
11496203,384,60014075002,"Alameda County",39
11441479,384,60014075002,"Alameda County",40
11395512,384,60014212004,"Alameda County",41
11395559,384,60014212004,"Alameda County",42
11391123,384,60014212004,"Alameda County",43
11391292,384,60014212004,"Alameda County",44
11391138,384,60014212004,"Alameda County",45
11395582,384,60014212004,"Alameda County",46
11395528,384,60014212004,"Alameda County",47
11395619,384,60014212004,"Alameda County",48
11395764,384,60014212004,"Alameda County",49
10641986,384,60014212004,"Alameda County",50
11391108,384,60014212004,"Alameda County",51
11349068,384,60014212004,"Alameda County",52
11348910,384,60014212004,"Alameda County",53
10641982,384,60014212004,"Alameda County",54
11349013,384,60014212004,"Alameda County",55
11349067,384,60014212004,"Alameda County",56
11395758,384,60014212004,"Alameda County",57
11348884,384,60014212004,"Alameda County",58
11391113,384,60014212004,"Alameda County",59
11348896,384,60014212004,"Alameda County",60
11393570,384,60014223002,"Alameda County",61
11343545,384,60014223002,"Alameda County",62
11393658,384,60014223002,"Alameda County",63
